time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.2200000000000015,-0.648988274395,0.835733929063,15.0463776815,0.0683696865785,6.25456741911,0.0,-0.505325794084,0.970213843463,4.17220105306,-0.0452199182687,-0.14812333954,0.0,408.37278700283315,406.60805258111753,407.004504576806,408.4743977945374
2.2800000000000016,-0.678759621322,0.895194198511,15.2976765248,0.0660176202798,6.24598911051,0.0,-0.48626543424,1.01155127617,4.20431434794,-0.0397286655824,-0.143116789753,0.0,432.53870938184457,432.93946440079617,432.17509936847216,432.63663038794806
2.3400000000000016,-0.707093188446,0.957343250473,15.5547630631,0.0641229013111,6.24068691908,0.0,-0.457644630578,1.05981191359,4.36463256308,-0.0331751097878,-0.164207977461,0.0,474.40387789785973,472.76175937770756,471.2334995218404,471.73928146406166
2.4000000000000017,-0.733645939038,1.02223423269,15.8197588189,0.0624842253683,6.23092856992,0.0,-0.426464535788,1.10300583251,4.46814039539,-0.0277676832378,-0.16184001325,0.0,455.58393117071523,455.7485183988821,457.38619350305885,457.8163695214199
2.4600000000000017,-0.758298685189,1.08951747248,16.0877886912,0.0719596084385,6.22144090252,0.0,-0.394477148574,1.14055920625,4.46608020075,0.00761660796373,-0.168348708795,0.0,423.95017866765346,423.36338108769735,422.73795500403264,425.7763972880029
2.520000000000002,-0.780722977273,1.15935854979,16.3579786179,0.0724924473946,6.21344239046,0.0,-0.352217277694,1.18748910738,4.5399030992,0.00966332392596,-0.153620844782,0.0,447.9287329909044,449.09979810947976,448.60562549839386,448.7716865693299
2.580000000000002,-0.800184629525,1.23229756993,16.6362983928,0.0743202646902,6.20463276794,0.0,-0.295545622476,1.2439351946,4.73652892339,0.0207597381774,-0.161918202987,0.0,487.21793407963105,486.5763002635076,485.2347799867772,486.06702965443986
2.640000000000002,-0.8163281694,1.3083919117,16.9227580988,0.0763917437484,6.19533800795,0.0,-0.241676548165,1.2926958023,4.81171281771,0.0295869874341,-0.155916325957,0.0,451.93375457220554,452.3935155872633,450.7735568884987,451.4864639260831
2.700000000000002,-0.828806768861,1.3876753427,17.216453282,0.0821315971491,6.18599851417,0.0,-0.17329622702,1.35063165292,4.97724162346,0.0502316347228,-0.155300555738,0.0,480.7003011022346,480.72603785636534,478.26382846019294,479.8343476792211
2.760000000000002,-0.836937061092,1.4706212514,17.5208045623,0.0865001332117,6.1868823306,0.0,-0.0978516480247,1.41466681734,5.16685403443,0.036225253594,-0.121492030473,0.0,487.39646034372714,489.89964949690807,489.0944102947969,488.0510258722905
2.820000000000002,-0.841243727819,1.55686481542,17.8292401148,0.0889884614186,6.18041412433,0.0,-0.0451560641093,1.46031098573,5.11446532331,0.0412874854743,-0.112692820578,0.0,414.70349973435356,415.4621082092548,414.56471641457944,415.01016549255934
